crop,season,year_range,production,start_date,end_date
Sesamum,Kharif,2015-2016,8.5,01-01-2015,31-12-2015
Sesamum,Kharif,2016-2017,7.47,01-01-2016,31-12-2016
Sesamum,Kharif,2017-2018,7.55,01-01-2017,31-12-2017
Sesamum,Kharif,2018-2019,6.89,01-01-2018,31-12-2018
Sesamum,Kharif,2019-2020,6.57,01-01-2019,31-12-2019
Sesamum,Kharif,2020-2021,8.17,01-01-2020,31-12-2020
Sesamum,Kharif,2021-2022,7.89,01-01-2021,31-12-2021
Sesamum,Kharif,2022-2023,3.92,01-01-2022,31-12-2022
Sesamum,Kharif,2023-2024,3.95,01-01-2023,31-12-2023
Sesamum,Rabi,2013-2014,0,01-01-2013,31-12-2013
Sesamum,Rabi,2014-2015,0,01-01-2014,31-12-2014
Sesamum,Rabi,2015-2016,0,01-01-2015,31-12-2015
Sesamum,Rabi,2016-2017,0,01-01-2016,31-12-2016
Sesamum,Rabi,2017-2018,0,01-01-2017,31-12-2017
Sesamum,Rabi,2018-2019,0,01-01-2018,31-12-2018
Sesamum,Rabi,2019-2020,0,01-01-2019,31-12-2019
Sesamum,Rabi,2020-2021,0,01-01-2020,31-12-2020
Sesamum,Rabi,2021-2022,0,01-01-2021,31-12-2021
Sesamum,Rabi,2022-2023,0.31,01-01-2022,31-12-2022
Sesamum,Rabi,2023-2024,0.28,01-01-2023,31-12-2023
Sesamum,Summer,2013-2014,0,01-01-2013,31-12-2013
Sesamum,Summer,2014-2015,0,01-01-2014,31-12-2014
Sesamum,Summer,2015-2016,0,01-01-2015,31-12-2015
Sesamum,Summer,2016-2017,0,01-01-2016,31-12-2016
Sesamum,Summer,2017-2018,0,01-01-2017,31-12-2017
Sesamum,Summer,2018-2019,0,01-01-2018,31-12-2018
Sesamum,Summer,2019-2020,0,01-01-2019,31-12-2019
Sesamum,Summer,2020-2021,0,01-01-2020,31-12-2020
Sesamum,Summer,2021-2022,0,01-01-2021,31-12-2021
Sesamum,Summer,2022-2023,3.79,01-01-2022,31-12-2022
Sesamum,Summer,2023-2024,4.24,01-01-2023,31-12-2023
Nigerseed,Kharif,2013-2014,0.98,01-01-2013,31-12-2013
Nigerseed,Kharif,2014-2015,0.76,01-01-2014,31-12-2014
Nigerseed,Kharif,2015-2016,0.74,01-01-2015,31-12-2015
Nigerseed,Kharif,2016-2017,0.85,01-01-2016,31-12-2016
Nigerseed,Kharif,2017-2018,0.7,01-01-2017,31-12-2017
Nigerseed,Kharif,2018-2019,0.45,01-01-2018,31-12-2018
Nigerseed,Kharif,2019-2020,0.41,01-01-2019,31-12-2019
Nigerseed,Kharif,2020-2021,0.42,01-01-2020,31-12-2020
Nigerseed,Kharif,2021-2022,0.33,01-01-2021,31-12-2021
Nigerseed,Kharif,2022-2023,0.29,01-01-2022,31-12-2022
Nigerseed,Kharif,2023-2024,0.27,01-01-2023,31-12-2023
Soybean,Kharif,2013-2014,118.61,01-01-2013,31-12-2013
Soybean,Kharif,2014-2015,103.74,01-01-2014,31-12-2014
Soybean,Kharif,2015-2016,85.7,01-01-2015,31-12-2015
Soybean,Kharif,2016-2017,131.59,01-01-2016,31-12-2016
Soybean,Kharif,2017-2018,109.33,01-01-2017,31-12-2017
Soybean,Kharif,2018-2019,132.68,01-01-2018,31-12-2018
Soybean,Kharif,2019-2020,112.26,01-01-2019,31-12-2019
Soybean,Kharif,2020-2021,126.1,01-01-2020,31-12-2020
Soybean,Kharif,2021-2022,129.87,01-01-2021,31-12-2021
Soybean,Kharif,2022-2023,149.85,01-01-2022,31-12-2022
Soybean,Kharif,2023-2024,130.62,01-01-2023,31-12-2023
Sunflower,Kharif,2013-2014,1.54,01-01-2013,31-12-2013
Sunflower,Kharif,2014-2015,1.11,01-01-2014,31-12-2014
Sunflower,Kharif,2015-2016,0.66,01-01-2015,31-12-2015
Sunflower,Kharif,2016-2017,0.98,01-01-2016,31-12-2016
Sunflower,Kharif,2017-2018,0.85,01-01-2017,31-12-2017
Sunflower,Kharif,2018-2019,0.9,01-01-2018,31-12-2018
Sunflower,Kharif,2019-2020,0.92,01-01-2019,31-12-2019
Sunflower,Kharif,2020-2021,0.78,01-01-2020,31-12-2020
Sunflower,Kharif,2021-2022,1.11,01-01-2021,31-12-2021
Sunflower,Kharif,2022-2023,2.04,01-01-2022,31-12-2022
Sunflower,Kharif,2023-2024,0.6,01-01-2023,31-12-2023
Sunflower,Rabi,2013-2014,3.5,01-01-2013,31-12-2013
Sunflower,Rabi,2014-2015,3.23,01-01-2014,31-12-2014
Sunflower,Rabi,2015-2016,2.3,01-01-2015,31-12-2015
Sunflower,Rabi,2016-2017,1.53,01-01-2016,31-12-2016
Sunflower,Rabi,2017-2018,1.37,01-01-2017,31-12-2017
Sunflower,Rabi,2018-2019,1.26,01-01-2018,31-12-2018
Sunflower,Rabi,2019-2020,1.21,01-01-2019,31-12-2019
Sunflower,Rabi,2020-2021,1.51,01-01-2020,31-12-2020
Sunflower,Rabi,2021-2022,1.39,01-01-2021,31-12-2021
Sunflower,Rabi,2022-2023,1.17,01-01-2022,31-12-2022
Sunflower,Rabi,2023-2024,0.74,01-01-2023,31-12-2023
Sunflower,Summer,2013-2014,0,01-01-2013,31-12-2013
Sunflower,Summer,2014-2015,0,01-01-2014,31-12-2014
Sunflower,Summer,2015-2016,0,01-01-2015,31-12-2015
Sunflower,Summer,2016-2017,0,01-01-2016,31-12-2016
Sunflower,Summer,2017-2018,0,01-01-2017,31-12-2017
Sunflower,Summer,2018-2019,0,01-01-2018,31-12-2018
Sunflower,Summer,2019-2020,0,01-01-2019,31-12-2019
Sunflower,Summer,2020-2021,0,01-01-2020,31-12-2020
Sunflower,Summer,2021-2022,0,01-01-2021,31-12-2021
Sunflower,Summer,2022-2023,0.43,01-01-2022,31-12-2022
Sunflower,Summer,2023-2024,0.39,01-01-2023,31-12-2023
Rapeseed & Mustard,Rabi,2013-2014,78.77,01-01-2013,31-12-2013
Rapeseed & Mustard,Rabi,2014-2015,62.82,01-01-2014,31-12-2014
Rapeseed & Mustard,Rabi,2015-2016,67.97,01-01-2015,31-12-2015
Rapeseed & Mustard,Rabi,2016-2017,79.17,01-01-2016,31-12-2016
Rapeseed & Mustard,Rabi,2017-2018,84.3,01-01-2017,31-12-2017
Rapeseed & Mustard,Rabi,2018-2019,92.56,01-01-2018,31-12-2018
Rapeseed & Mustard,Rabi,2019-2020,91.24,01-01-2019,31-12-2019
Rapeseed & Mustard,Rabi,2020-2021,102.1,01-01-2020,31-12-2020
Rapeseed & Mustard,Rabi,2021-2022,119.63,01-01-2021,31-12-2021
Rapeseed & Mustard,Rabi,2022-2023,126.43,01-01-2022,31-12-2022
Rapeseed & Mustard,Rabi,2023-2024,132.59,01-01-2023,31-12-2023
Linseed,Rabi,2013-2014,1.42,01-01-2013,31-12-2013
Linseed,Rabi,2014-2015,1.55,01-01-2014,31-12-2014
Linseed,Rabi,2015-2016,1.25,01-01-2015,31-12-2015
Linseed,Rabi,2016-2017,1.84,01-01-2016,31-12-2016
Linseed,Rabi,2017-2018,1.74,01-01-2017,31-12-2017
Linseed,Rabi,2018-2019,0.99,01-01-2018,31-12-2018
Linseed,Rabi,2019-2020,1.21,01-01-2019,31-12-2019
Linseed,Rabi,2020-2021,1.11,01-01-2020,31-12-2020
Linseed,Rabi,2021-2022,1.26,01-01-2021,31-12-2021
Linseed,Rabi,2022-2023,1.67,01-01-2022,31-12-2022
Linseed,Rabi,2023-2024,1.13,01-01-2023,31-12-2023
Safflower,Rabi,2013-2014,1.13,01-01-2013,31-12-2013
Safflower,Rabi,2014-2015,0.9,01-01-2014,31-12-2014
Safflower,Rabi,2015-2016,0.53,01-01-2015,31-12-2015
Safflower,Rabi,2016-2017,0.94,01-01-2016,31-12-2016
Safflower,Rabi,2017-2018,0.55,01-01-2017,31-12-2017
Safflower,Rabi,2018-2019,0.25,01-01-2018,31-12-2018
Safflower,Rabi,2019-2020,0.44,01-01-2019,31-12-2019
Safflower,Rabi,2020-2021,0.36,01-01-2020,31-12-2020
Safflower,Rabi,2021-2022,0.61,01-01-2021,31-12-2021
Safflower,Rabi,2022-2023,0.9,01-01-2022,31-12-2022
Safflower,Rabi,2023-2024,0.5,01-01-2023,31-12-2023
Sugarcane,Kharif,2013-2014,3521.42,01-01-2013,31-12-2013
Sugarcane,Kharif,2014-2015,3623.33,01-01-2014,31-12-2014
Sugarcane,Kharif,2015-2016,3484.48,01-01-2015,31-12-2015
Sugarcane,Kharif,2016-2017,3060.69,01-01-2016,31-12-2016
Sugarcane,Kharif,2017-2018,3799.05,01-01-2017,31-12-2017
Sugarcane,Kharif,2018-2019,4054.16,01-01-2018,31-12-2018
Sugarcane,Kharif,2019-2020,3705,01-01-2019,31-12-2019
Sugarcane,Kharif,2020-2021,4053.99,01-01-2020,31-12-2020
Sugarcane,Kharif,2021-2022,4394.25,01-01-2021,31-12-2021
Sugarcane,Kharif,2022-2023,4905.33,01-01-2022,31-12-2022
Sugarcane,Kharif,2023-2024,4531.58,01-01-2023,31-12-2023
Cotton,Kharif,2013-2014,61.03,01-01-2013,31-12-2013
Cotton,Kharif,2014-2015,59.17,01-01-2014,31-12-2014
Cotton,Kharif,2015-2016,51.01,01-01-2015,31-12-2015
Cotton,Kharif,2016-2017,55.38,01-01-2016,31-12-2016
Cotton,Kharif,2017-2018,55.77,01-01-2017,31-12-2017
Cotton,Kharif,2018-2019,47.67,01-01-2018,31-12-2018
Cotton,Kharif,2019-2020,61.31,01-01-2019,31-12-2019
Cotton,Kharif,2020-2021,59.92,01-01-2020,31-12-2020
Cotton,Kharif,2021-2022,52.9,01-01-2021,31-12-2021
Cotton,Kharif,2022-2023,57.22,01-01-2022,31-12-2022
Cotton,Kharif,2023-2024,55.29,01-01-2023,31-12-2023
Jute and Mesta,Kharif,2013-2014,21.04,01-01-2013,31-12-2013
Jute and Mesta,Kharif,2014-2015,20.03,01-01-2014,31-12-2014
Jute and Mesta,Kharif,2015-2016,18.94,01-01-2015,31-12-2015
Jute and Mesta,Kharif,2016-2017,19.73,01-01-2016,31-12-2016
Jute and Mesta,Kharif,2017-2018,18.06,01-01-2017,31-12-2017
Jute and Mesta,Kharif,2018-2019,17.68,01-01-2018,31-12-2018
Jute and Mesta,Kharif,2019-2020,17.78,01-01-2019,31-12-2019
Jute and Mesta,Kharif,2020-2021,16.84,01-01-2020,31-12-2020
Jute and Mesta,Kharif,2021-2022,18.27,01-01-2021,31-12-2021
Jute and Mesta,Kharif,2022-2023,16.91,01-01-2022,31-12-2022
Jute and Mesta,Kharif,2023-2024,17.45,01-01-2023,31-12-2023
